Date;Valor;Ativo
25/09/2019;3,24;KLBN3SA
26/09/2019;3,21;KLBN3SA
27/09/2019;3,21;KLBN3SA
30/09/2019;3,18;KLBN3SA
01/10/2019;3,17;KLBN3SA
02/10/2019;3,13;KLBN3SA
03/10/2019;3,14;KLBN3SA
04/10/2019;3,12;KLBN3SA
07/10/2019;3,06;KLBN3SA
08/10/2019;2,95;KLBN3SA
09/10/2019;2,91;KLBN3SA
10/10/2019;2,92;KLBN3SA
11/10/2019;3,14;KLBN3SA
14/10/2019;3,19;KLBN3SA
15/10/2019;3,32;KLBN3SA
16/10/2019;3,35;KLBN3SA
17/10/2019;3,38;KLBN3SA
18/10/2019;3,33;KLBN3SA
21/10/2019;3,3;KLBN3SA
22/10/2019;3,32;KLBN3SA
23/10/2019;3,34;KLBN3SA
24/10/2019;3,35;KLBN3SA
25/10/2019;3,28;KLBN3SA
28/10/2019;3,21;KLBN3SA
29/10/2019;3,14;KLBN3SA
30/10/2019;3,23;KLBN3SA
31/10/2019;3,32;KLBN3SA
01/11/2019;3,34;KLBN3SA
04/11/2019;3,53;KLBN3SA
05/11/2019;3,52;KLBN3SA
06/11/2019;3,51;KLBN3SA
07/11/2019;3,65;KLBN3SA
08/11/2019;3,61;KLBN3SA
11/11/2019;3,7;KLBN3SA
12/11/2019;3,65;KLBN3SA
13/11/2019;3,57;KLBN3SA
14/11/2019;3,54;KLBN3SA
18/11/2019;3,62;KLBN3SA
19/11/2019;3,57;KLBN3SA
21/11/2019;3,59;KLBN3SA
22/11/2019;3,58;KLBN3SA
25/11/2019;3,63;KLBN3SA
26/11/2019;3,59;KLBN3SA
27/11/2019;3,63;KLBN3SA
28/11/2019;3,6;KLBN3SA
29/11/2019;3,58;KLBN3SA
02/12/2019;3,63;KLBN3SA
03/12/2019;3,62;KLBN3SA
04/12/2019;3,63;KLBN3SA
